user_id,place_id,user_rating
1,28,2
1,86,4
1,94,4
1,146,3
2,17,2
2,62,3
2,64,4
2,103,4
2,137,4
2,178,4
2,63,5
3,63,4
3,73,3
3,92,4
3,92,2
3,106,4
3,132,5
3,147,4
4,5,2
4,34,4
4,78,4
4,124,3
5,53,3
5,60,4
5,72,3
5,104,3
5,109,4
5,110,2
6,17,4
6,42,3
6,61,2
6,81,3
6,81,4
6,91,3
7,32,3
7,53,5
7,57,5
7,67,4
7,68,5
7,104,4
8,9,2
8,145,5
8,145,4
8,154,2
8,170,3
9,41,3
9,72,5
9,74,3
9,160,5
10,46,3
10,50,3
10,53,3
10,71,4
10,87,3
10,162,5
10,178,4
11,15,4
11,15,4
11,18,4
11,21,2
11,56,3
11,77,4
11,134,3
12,47,4
12,128,4
12,143,4
12,156,3
12,162,3
12,174,2
13,14,4
13,35,5
13,54,3
13,81,4
13,164,4
13,173,4
14,20,5
14,48,3
14,125,3
14,130,4
14,176,2
15,3,3
15,17,4
15,58,3
15,114,3
15,172,5
16,11,4
16,41,2
16,153,4
16,176,2
17,53,3
17,81,3
17,117,4
17,170,3
18,25,4
18,71,4
18,107,3
18,127,3
19,11,2
19,29,3
19,161,2
19,181,4
20,68,2
20,97,5
20,100,5
20,175,4
21,17,5
21,90,2
21,93,5
21,101,2
21,110,4
22,10,4
22,97,3
22,98,5
22,125,4
22,128,4
23,5,4
23,50,5
23,74,5
23,144,3
23,174,2
24,14,3
24,53,4
24,102,4
24,106,2
24,173,4
25,19,5
25,50,2
25,89,4
25,117,2
25,127,5
26,10,3
26,23,4
26,32,5
26,38,3
26,150,2
27,100,3
27,104,3
27,133,3
27,144,4
27,144,3
28,71,2
28,83,3
28,89,3
28,134,3
28,149,4
29,106,4
29,120,3
29,161,3
29,164,5
29,172,3
30,20,4
30,37,2
30,96,4
30,119,3
31,54,5
31,86,3
31,96,4
31,152,5
32,8,3
32,16,3
32,46,2
32,116,4
32,121,3
32,124,2
32,154,4
33,8,3
33,43,4
33,75,3
33,144,4
33,160,3
34,11,2
34,53,5
34,54,4
34,105,5
34,111,5
34,168,2
35,92,5
35,97,3
35,114,4
35,120,5
35,121,3
35,137,3
35,143,3
36,26,4
36,55,3
36,57,4
36,122,4
36,178,2
36,179,2
37,8,4
37,72,4
37,101,3
37,148,4
38,8,4
38,19,4
38,71,4
38,94,3
38,102,2
39,7,5
39,86,3
39,89,3
39,113,5
39,121,2
39,178,2
40,32,5
40,122,2
40,125,5
40,167,4
40,179,3
41,8,3
41,18,2
41,18,5
41,59,4
41,121,5
42,24,3
42,41,3
42,47,4
42,114,3
42,131,3
42,144,3
43,24,4
43,48,4
43,83,5
43,106,3
43,121,2
44,50,2
44,110,3
44,124,3
44,134,2
44,163,3
44,178,4
45,6,3
45,7,3
45,8,3
45,9,2
45,23,5
45,50,3
45,113,3
46,2,5
46,11,2
46,41,4
46,42,4
46,84,4
46,116,3
47,24,4
47,26,4
47,113,4
47,144,4
47,159,3
47,168,5
47,172,4
48,12,4
48,26,5
48,39,3
48,43,4
48,87,2
48,164,3
48,178,3
49,49,5
49,78,3
49,81,3
49,117,4
49,119,4
49,141,4
49,147,3
50,30,3
50,34,3
50,90,5
50,110,2
50,151,3
50,162,2
51,20,5
51,40,4
51,105,4
51,135,4
51,151,2
51,173,5
51,173,4
52,14,5
52,21,4
52,149,4
52,163,2
52,172,3
53,19,4
53,76,2
53,90,4
53,98,4
53,177,3
54,49,2
54,100,4
54,105,4
54,112,4
54,173,2
55,17,4
55,39,4
55,82,3
55,103,4
55,108,4
55,121,5
55,173,2
56,39,5
56,54,3
56,75,2
56,109,4
56,135,2
56,172,3
57,18,2
57,74,2
57,101,4
57,126,3
57,132,3
57,156,4
58,13,2
58,27,4
58,62,3
58,90,3
59,28,3
59,35,2
59,62,3
59,112,2
60,11,3
60,22,4
60,41,3
60,65,3
60,120,4
61,8,3
61,13,5
61,43,4
61,103,4
61,105,3
61,127,4
62,30,3
62,48,5
62,68,5
