place_id,place_name,place_description,category,city,price,rating,description_location,place_img,gallery_photo_img1,gallery_photo_img2,gallery_photo_img3,,,
1,Taman Nasional Gunung Leuser,"Taman Nasional Gunung Leuser adalah salah satu dari enam taman nasional yang terletak di Pulau Sumatera, Indonesia. Taman nasional ini merupakan salah satu kawasan lindung yang penting bagi flora dan fauna endemik, termasuk spesies langka seperti orangutan Sumatera, harimau Sumatera, dan gajah Sumatera.","Budaya,Taman Nasional",Aceh,"Rp25,000",4.5," Barisan mountain range, Aceh 24653",https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/1.%20Taman%20Nasional%20Gunung%20Leuser/main/Taman-Nasional-Gungung-Leuser.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/1.%20Taman%20Nasional%20Gunung%20Leuser/gallery_photo/images%20(1).jpeg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/1.%20Taman%20Nasional%20Gunung%20Leuser/gallery_photo/images%20(2).jpeg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/1.%20Taman%20Nasional%20Gunung%20Leuser/gallery_photo/images.jpeg,#REF!,,https://www.google.com/maps/search/Taman+Nasional+Gunung+Leuser
2,Desa Wisata Munduk,"Desa Wisata Munduk adalah sebuah desa di pegunungan Bali yang terkenal dengan keindahan alamnya. Desa ini dikelilingi oleh perkebunan kopi, kakao, dan rempah-rempah, serta memiliki udara segar dan pemandangan yang menakjubkan. Di Desa Wisata Munduk, pengunjung dapat menikmati keindahan alam, trekking, melihat air terjun, dan menjelajahi kehidupan desa yang tenang.",Desa Wisata,Bali,"Rp10,000",4.5,"Munduk, Banjar, Kabupaten Buleleng, Bali",https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/2.%20Desa%20Wisata%20Munduk/main/munduk-5d0d0eaa097f3620796457b4.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/2.%20Desa%20Wisata%20Munduk/gallery_photo/62413_medium.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/2.%20Desa%20Wisata%20Munduk/gallery_photo/Desa-Munduk-Singaraja-Buleleng-Bali.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/2.%20Desa%20Wisata%20Munduk/gallery_photo/candi-bentar-bali.jpg,#REF!,,https://goo.gl/maps/LyeJ2mAeFGysTE9v9
3,Desa Wisata Penglipuran,"Desa Wisata Penglipuran adalah sebuah desa wisata yang terletak di Kabupaten Bangli, Bali, Indonesia. Desa ini terkenal karena keindahan arsitektur tradisional Bali dan kelestariannya yang terjaga dengan baik. Penglipuran sering dijuluki sebagai ""desa adat Bali yang terbersih"" karena kepedulian warganya terhadap kebersihan dan kerapian desa.","Budaya,Desa Wisata",Bali,"Rp25,000",4.8,"Jl. Penglipuran, Kubu, Kec. Bangli, Kabupaten Bangli, Bali 80611",https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/3.%20Desa%20Wisata%20Penglipuran/main/Desa-Wisata-Penglipuran.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/3.%20Desa%20Wisata%20Penglipuran/gallery_photo/21489.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/3.%20Desa%20Wisata%20Penglipuran/gallery_photo/WhatsApp-Image-2021-09-09-at-02.13.41.png,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/3.%20Desa%20Wisata%20Penglipuran/gallery_photo/hipwee-Desa-penglipuran.jpg,,,https://www.google.com/maps/search/Desa+Wisata+Penglipuran
4,Taman Nasional Bali Barat,"Taman Nasional Bali Barat adalah kawasan konservasi alam yang terletak di pesisir barat Pulau Bali. Taman nasional ini terkenal karena keindahan alamnya yang meliputi hutan tropis, pegunungan, dan ekosistem pesisir. Kawasan ini juga menjadi rumah bagi berbagai spesies satwa liar yang dilindungi, seperti banteng Bali, kijang, dan burung Jalak Bali.","Taman Nasional,Cagar Alam",Bali,"Rp15,000",4.5,"Sumber Klampok, Bali",https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/4.%20Taman%20Nasional%20Bali%20Barat/main/119650695-765878017569535-3931804452268588330-n-3f470419c48481a410869607195370a0-ed1e688d065c7651acead0506dba5863.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/4.%20Taman%20Nasional%20Bali%20Barat/gallery_photo/116080734-80a9a2f7a9bb674285c77062f0ccfe67_600x400.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/4.%20Taman%20Nasional%20Bali%20Barat/gallery_photo/61558bb30b099.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/4.%20Taman%20Nasional%20Bali%20Barat/gallery_photo/Taman-Nasional-Bali-Barat%20(1).jpg,,,https://www.google.com/maps/search/Taman+Nasional+Bali+Barat
5,Bukit Jamur,"Bukit Jamur Ciwidey adalah satu dari sekian banyak pesona wisata alam yang berada di Kecamatan Ciwidey, Kabupaten Bandung, Provinsi Jawa barat. Bukit Jamur Ciwidey memang memiliki khas wisata Ciwidey, yaitu objek wisata di tengah hamparan kebun teh, dengan udara yang sangat sejuk.Suasana saat kabut turun di area perkebunan membuat suasana menjadi romatis. Bukit Jamur Ciwidey suasananya cocok juga bagi jomblowan â€“ jomblowati, banyak spot dengan latar alam yang indah, yang dimungkinkan mampu melupakan sang mantan.",Cagar Alam,Bandung,"Rp12,000",4.2,"Sugihmukti, Kec. Pasirjambu, Kabupaten Bandung, Jawa Barat 40972",https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/5.%20Bukit%20Jamur/main/61efa6c24aa12.jpeg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/5.%20Bukit%20Jamur/gallery_photo/20190226121606-1-bukit-jamur-rancabolang-002-tantri-setyorini.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/5.%20Bukit%20Jamur/gallery_photo/807980959.png,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/5.%20Bukit%20Jamur/gallery_photo/kebun-teh-bukit-jamur-ciwidey.jpg,,,https://www.google.com/maps/search/Bukit+Jamur
6,Bukit Moko,"Bandung sebagai destinasi wisata tak pernah ada habisnya. Didukung dengan lanskap yang cantik, kawasan Bandung mampu menarik perhatian wisatawan. Baik dari segi alam, budaya, kuliner, dan seni kreatif secara bersamaan. Dari sekian banyak tempat wisata yang tersedia, Bukit Moko Bandung menjadi salah satu yang cukup populer namanya dalam beberapa tahun belakangan. Berada di ketinggian sekitar 1500 mdpl, Bukit Moko memiliki cuaca yang sejuk. Bagi pengunjung yang tidak biasa di cuaca ini, ada baiknya membawa jaket tebal apalagi jika datang saat musim penghujan.",Cagar Alam,Bandung,"Rp25,000",4.5,"Cimenyan, Kabupaten Bandung, Jawa Barat 40197 Indonesia",https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/6.%20Bukit%20Moko/main/a57a19dac1cab1beb6db33abe5cde628.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/6.%20Bukit%20Moko/gallery_photo/BUKIT-MOKOOO.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/6.%20Bukit%20Moko/gallery_photo/bukit-moko-bandung.jpg,,,,https://www.google.com/maps/search/Bukit+Moko
7,Curug Bugbrug,"Curug Bugbrug Sesuai dengan namanya kata Bugbrug dalam bahasa sunda adalah berarti bertumpuk atau tumpah tindih. Jadi apabila Anda ditanya kenapa air terjun di bandung ini dinamai Curug Bugbrug Maka jawabannya ialah karena air yang jatuh dari atas ke bawah itu seperti terlihat bertumpuk-tumpuk. Dan jatuhnya tersebut terdengar suara di dasar curug seperti â€ brugâ€¦brugâ€¦brug â€ begitu saking kerasnya. Curug yang berada di ketinggian 1.050 meter di atas permukaan air laut, memiliki ketinggian dari 50 meter tingginya dan lebar curug sekitar 2 meter. Tempat ini menjadi pusat buruan wisatawan yang berlibur ke bandung.",Cagar Alam,Bandung,"Rp7,500",4.3,"Jalan Kolonel Masturi, Desa Kertawangi, Kecamatan Cisarua, Kabupaten Bandung Barat, Jawa Barat, Indonesia.",https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/7.%20Curug%20Bugbrug/main/curug-bugbrug-jawa-barat.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/7.%20Curug%20Bugbrug/gallery_photo/IMG-20220505-WA0013.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/7.%20Curug%20Bugbrug/gallery_photo/IMG_20230122_090300_4vgikpUw7b_B4QF2Qsi1g.jpeg,,,,https://www.google.com/maps/search/Curug+Bugbrug
8,Curug Cilengkrang,"Curug Cilengkrang bisa menjadi pilihan tujuan objek wisata alam di Bandung. Menawarkan area hutan sejuk serta area air terjun yang menyegarkan. Meski tidak besar, kawasan air terjun cukup bisa untuk menenangkan dan kembali menyegarkan wisatawan. Seolah bertolak belakang dari hingar bingar kota Bandung. Curug Cilengkrang menawarkan wisata alam yang tenang dan begitu hijau. Air terjun yang mempesona, serta hutan dengan pepohonan yang begitu asri. Dimana, tempat ini juga menjadi habitat hidup berbagai satwa liar yang masih terjaga.",Cagar Alam,Bandung,"Rp7,500",4,"Cilengkrang, Kabupaten Bandung, Jawa Barat 40615",https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/8.%20Curug%20Cilengkrang/main/003-curug-batu-peti-cilengkrang.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/8.%20Curug%20Cilengkrang/gallery_photo/Curug-Cilengkrang-Bandung-5.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/8.%20Curug%20Cilengkrang/gallery_photo/Curug-Cilengkrang-Bandung-Timur.jpg,,,,https://www.google.com/maps/search/Curug+Cilengkrang
9,Curug Cimahi,"Curug Cimahi adalah air terjun yang terletak di Jalan Kolonel Masturi, Desa Kertawangi, Kecamatan Cisarua, Kabupaten Bandung Barat, Jawa Barat. Dengan ketinggian sekitar 87 meter, menjadikan air terjun ini sebagai salah satu curug tertinggi di wilayah Bandung dan sekitarnya. Nama Cimahi berasal dari nama sungai yang mengalir di atasnya yaitu Sungai Cimahi yang berhulu di Situ (danau) Lembang dan mengalir ke Kota Cimahi. Destinasi wisata ini berjarak kurang lebih 10 kilometer dari Kota Cimahi ke arah Lembang atau 20 kilometer dari Kota Bandung.",Cagar Alam,Bandung,"Rp20,000",4.1,"5H78+Q6J Villa Katumiri, Jl. Cihanjuang, Padaasih, Kec. Cisarua, Kota Cimahi, Jawa Barat 40551",https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/9.%20Curug%20Cimahi/main/46694267_250205232314626_6737470435086041088_n.jpeg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/9.%20Curug%20Cimahi/gallery_photo/Suasana-asri-di-Curug-Pelangi%20(1).png,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/9.%20Curug%20Cimahi/gallery_photo/curug-cimahi%20(1).jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/9.%20Curug%20Cimahi/gallery_photo/curug-cimahi.jpg,,,https://www.google.com/maps/search/Curug+Cimahi
10,Curug Cipanas,"Siapa bilang berendam air panas harus merogoh kocek dalam? Kabupaten Bandung Barat punya solusi bagi pelancong yang ingin merasakan manfaat air panas pegunungan asli tanpa harus membayar mahal. Adalah Curug Cipanas Nagrak, objek wisata alam yang menawarkan pemandian air panas alami. Pemandian air panas ini bahkan tidak hanya sekadar kolam, melainkan berupa air terjun alami di tengah kawasan perkebunan. Mata airnya mengalir deras menjadi sebuah air terjun kecil di tengah lahan perbukitan hijau. Pengunjung akan merasakan sensasi berendam di kolam air panas yang nyaman di tengah alam terbuka.",Cagar Alam,Bandung,"Rp25,000",4,"Jl. Nagrak Tengah, Sukajaya, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/10.%20Curug%20Cipanas/main/Curug-Cipanas-Nagrak-Kancah-Bandung.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/10.%20Curug%20Cipanas/gallery_photo/Curug-Cipanas.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/10.%20Curug%20Cipanas/gallery_photo/nagrak%202.jpg,,,,https://www.google.com/maps/search/Curug+Cipanas
